Denia,Concerto Regen,MV,Energy,Break Value,Forte,Total Frames,Frames Till Cancel,End Lag
Intro,10.00,104.62%,10,0.70200,25,107,50 (Ult Cancel),57
EIntro,10.00,155.22%,10.02,1.04100,100,82,75 (Ult2 Cancel),7
BA1,1.37,32.69%,0.69,0.21900,4,23,10,13
BA2,2.54,60.36%,1.28,0.40400,8,24,17,7
BA3,3.21,76.47%,1.62,0.51300,9,41,25,16
BA4,5.37,128.00%,0.69,0.85800,30,57,20,37
BA Chain (Stagecraft Form),12.49,297.52%,4.28,1.99400,51,145,108,37
HA,6.78,161.52%,3.4,1.08400,20,96,50,46
MA,3.10,73.97%,1.55,0.49600,10,47,41,6
DC,6.21,148.05%,3.12,0.51300,12,,,0
EBA1,1.53,36.51%,0.77,0.24500,-9,22,12,10
EBA2,3.94,93.79%,1.99,0.62800,-26,50,12,38
EBA12,5.47,130.30%,2.76,0.87,-35,72,34,38
EBA3,2.62,62.39%,1.31,0.41800,-15,38,25,13
EBA4,4.97,118.46%,2.49,0.79400,-30,62,13,49
EBA Chain (Breakdown Form),18.53,441.45%,9.32,2.95800,-115,244,123,121
FBA1,1.53,54.77%,0.77,0.24500,-18,22,12,10
FBA2,3.94,140.69%,1.99,0.62800,-46,50,12,38
FBA12,5.47,195.45%,2.76,0.87,-64,72,34,38
FBA3,2.62,93.59%,1.31,0.41800,-30,38,25,13
FBA4,4.97,177.69%,2.49,0.79400,-58,62,60,2
FBA Chain,18.53,662.18%,9.32,2.95800,-216,244,170,74
EHA,5.75,137.06%,2.88,,-33,75,62,13
EDC,4.53,108.80%,2.27,0.24500,-26,,,0
Skill (Phantom Bubble - Stagecraft Form),24.40,104.51%,0.22,0.70100,25,67,40,27
ESkill (Beckon - Breakdown Form),1.92,103.70%,2.21,0.69400,,,,
FSkill1 (Banish - Breakdown Form),4.38,104.04%,2.19,0.69900,,56,56,0
FSkill2 (Banish - Breakdown Form 2nd Hit),14.70,112.01%,2.35,0.75100,,75,20,55
Ult (Final Act - Stagecraft Form),20.00,397.62%,,4.80000,,,,0
Ult2 (Final Act - Breakdown Form),20.00,795.24%,30,5.25200,,,,0
,,,,,,,,
,,,,,,,,
Hiyuki,Concerto Regen,MV,Energy,Break Value,Forte,Total Frames,Frames Till Last Hit,End Lag
Intro,10.00,156.15%,10.00,"8,976",,67,67,67
BA1,2.44,75.44%,1.64,"4,336",,32,29,3
BA2,2.92,83.51%,1.95,"5,188",,41,24,17
BA3,3.99,122.97%,2.68,"7,070",,52,38,14
BA Chain,9.35,281.92%,6.27,"16,594",,125,111,14
EHA (Frost Splinter),3.47,317.23%,2.31,"6,160",,134,101,33
MA,4.05,128.18%,2.70,"7,368",,,,0
DC,5.40,173.75%,3.60,"9,988",,,,0
UBA1,1.6,49.27%,1.07,"2,832",10,19,15,4
UBA2,2.6,80.04%,1.74,"4,600",15,37,30,7
UBA3,5.45,167.72%,3.65,"9,640",32,70,10,60
UBA4,4.85,149.65%,3.25,"8,600",30,62,46,16
UBA5,3.94,121.64%,2.63,"6,993",24,89,28,61
UBA Chain,18.44,568.32%,12.34,"32,665",111,277,216,61
UHA,2.25,107.16%,3.38,"5,992",31,,,0
FHA (Bitterfrost),10.00,616.33%,,"79,800",,,,0
UMA1,3.47,106.76%,2.33,"6,137",19,45,36,9
UMA2,3.76,115.96%,2.52,"6,664",20,49,41,8
UMA3,4.01,124.00%,2.68,"7,128",22,54,44,10
UMA Chain,11.24,346.72%,7.53,"19,929",61,148,138,10
EDC,5.30,156.80%,3.54,"9,400",48,,,0
Skill,5.89,195.98%,3.91,"11,264",,89,62,27
ESkill (Jade Cleave),2.64,264.04%,10.16,"5,312",75,38,35,3
MSkill2 (Petalfall),3.15,320.10%,10.50,"6,440",75,57,40,17
ESkill12,5.79,584.14%,20.66,"11,752",150,95,0,95
Ult,20.00,397.62%,,"84,000",,,,0
Ult2 (Stage0),20.00,994.05%,,"84,000",,,,0
Ult2 (Stage1),20.00,1789.29%,,"84,000",,,,0
Ult2 (Stage2),20.00,2584.53%,,"84,000",,,,0
Ult2 (Stage3),20.00,3379.77%,,"84,000",,,,0
Ult2 (4 rots),20.00,1988.10%,,"84,000",,,,0
Ult2 (4 rots),20.00,1948.34%,,"84,000",,,,0
EForte (Iai),3.08,473.06%,2.07,"6,347",-100,44,18,26
Forte (Iai),,473.06%,,"6,347",-100,44,18,26
Iai State Enter,,0.00%,,,,29,0,29
