Resonator,Internal Name,SkillName (CN),Skill Shorthand,Total Frames ,Frame Perfect Buffer,Hit Instance/s,HitLag,Earliest Frame Until Cancel,Frames Until First Hit Instance,Frames Until Last Hit Instance,Endlag,EndSkill,Invincible (f),NoInterruption (f),NoSwap (f),QTE (f),Dodge (f),Time Stop (f),Enemy Stop (f)
Denia,AM_AirAttackII_01,二形态空中普攻-A1,UMA1,22,18,1,4,13,13,13,9,77,0,0,0,0,0,0,0
Denia,AM_AirAttackII_02,二形态空中普攻-A2,UMA2,53,47,5,6,14,14,44,39,111,0,0,0,0,0,0,0
Denia,AM_AirAttackII_03,二形态空中普攻-A3,UMA3,36,31,1,5,23,23,23,13,106,0,0,0,0,0,0,0
Denia,AM_AirAttackII_04,二形态空中普攻-A4,UMA4,58,54,2,4,40,14,40,18,59,0,0,0,0,0,0,0
Denia,AM_AirAttack,白-下落攻击,MA,41,41,2,0,37,22,37,4,47,0,0,0,0,0,0,0
Denia,AM_AirAttack02,黑-下落攻击,UMHA,48,48,2,0,34,22,34,14,51,0,0,0,0,0,0,0
Denia,AM_AttackI-01,一形态普攻-A1,BA1,16,16,1,0,9,9,9,7,76,0,0,0,0,0,0,0
Denia,AM_AttackI-02,一形态普攻-A2,BA2,36,30,2,6,24,16,24,12,91,0,0,0,0,0,0,0
Denia,AM_AttackI-03,一形态普攻-A3,BA3,38,38,3,0,4,20,38,34,44,0,0,0,0,0,0,0
Denia,AM_AttackI-04,一形态普攻-A4,BA4,59,54,1,5,"16 (After BA3), 18 (After Intro)","16 (After BA3), 18 (After Intro)","16 (After BA3), 18 (After Intro)","43 (After BA3), 41 (After Intro)",99,0,0,0,0,0,0,0
Denia,AM_AttackII_01,二形态普攻-A1,UBA1,22,18,1,4,13,13,13,9,77,0,0,0,0,0,0,0
Denia,AM_AttackII_02,二形态普攻-A2,UBA2,53,47,5,6,14,14,44,39,111,0,0,0,0,0,0,0
Denia,AM_AttackII_03,二形态普攻-A3,UBA3,36,31,1,5,23,23,23,13,113,0,0,0,0,0,0,0
Denia,AM_AttackII_04,二形态普攻-A4,UBA4,64,60,2,4,40,14,40,24,86,0,0,0,0,0,0,0
Denia,AM_Burst01,一形态-大招,Ult1,275,259,1,16,259,257,257,16,260,0,0,0,0,0,251,251
Denia,AM_Burst02,二形态-终结技大招,Ult2,171,171,4,0,171,104,126,0,187,0,0,0,0,0,131,131
Denia,AM_Execute01,音感仪破弱-白形态,TB,90,90,1,0,90,56,56,0,90,90,0,90,0,0,90,54
Denia,AM_Execute02,音感仪破弱-黑形态,UTB,90,90,1,0,90,56,56,0,90,90,0,90,0,0,90,54
Denia,AM_Hold01,一形态-重击,HA,95,81,2,14,54,42,54,41,105,0,0,0,0,0,0,0
Denia,AM_Hold02,二形态-重击,UHA,75,69,1,6,63,63,63,12,114,0,0,0,0,0,0,0
