Resonator,Node,SkillName,MV,Resonance E.,Concerto E.,Damage Type,Off-Tune Values,SpecialEnergy1,SpecialEnergy2,SpecialEnergy3,SpecialEnergy4,SpecialEnergy5,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,37.72%,0.64,1.22,0,2168,0,0,0,0,0,,"SpecialEnergy1Max: 300,"
Hiyuki,Normal Attack,Flaming Sakura Blade Art,37.72%,0.64,1.22,0,2168,0,0,0,0,0,,"SpecialEnergy2Max: 300,"
Hiyuki,Normal Attack,Flaming Sakura Blade Art,90.25%,1.53,2.92,0,5188,0,0,0,0,0,,"SpecialEnergy3Max: 0,"
Hiyuki,Normal Attack,Flaming Sakura Blade Art,4.92%,0.09,0.16,0,283,0,0,0,0,0,,"SpecialEnergy4Max: 6000,"
Hiyuki,Normal Attack,Flaming Sakura Blade Art,98.37%,1.67,3.19,0,5655,0,0,0,0,0,,"SpecialEnergy5Max: 10000,"
Hiyuki,Normal Attack,Flaming Sakura Blade Art,79.31%,1.31,2.5,2,4432,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,158.61%,2.61,4.99,2,8864,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,206.19%,1.31,2.5,2,4432,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,412.37%,2.61,4.99,2,8864,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,128.18%,2.17,4.15,0,7368,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,173.75%,2.94,5.62,0,9988,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,49.27%,0.84,1.6,2,2832,0,10,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,40.02%,0.68,1.3,2,2300,0,8,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,40.02%,0.68,1.3,2,2300,0,7,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,25.16%,0.43,0.82,2,1446,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,67.08%,1.14,2.17,2,3856,0,12,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,29.93%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,29.93%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,29.93%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,29.93%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,29.93%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,12.17%,0.21,0.4,2,700,0,24,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,109.47%,1.85,3.54,2,6293,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,81.77%,1.39,2.65,2,4700,0,16,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,81.77%,1.39,2.65,2,4700,0,16,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,107.16%,1.81,3.47,2,6160,0,21,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,108.39%,0.84,1.6,2,2832,0,10,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,88.03%,0.68,1.3,2,2300,0,8,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,88.03%,0.68,1.3,2,2300,0,7,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,55.34%,0.43,0.82,2,1446,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,147.58%,1.14,2.17,2,3856,0,12,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,65.83%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,65.83%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,65.83%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,65.83%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,65.83%,0.51,0.97,2,1720,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,26.76%,0.21,0.4,2,700,0,24,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,240.84%,1.85,3.54,2,6293,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,179.88%,1.39,2.65,2,4700,0,16,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,179.88%,1.39,2.65,2,4700,0,16,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,235.75%,1.81,3.47,2,6160,0,21,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,15.41%,0.2,0,2,2100,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,493.05%,6.4,0,2,67200,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,40.07%,0.2,0,2,2100,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,1281.93%,6.4,0,2,67200,0,0,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,111.60%,1.89,3.61,2,7128,0,22,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,245.52%,1.89,3.61,2,7128,0,22,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,28.83%,0.49,0.94,2,1841,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,28.83%,0.49,0.94,2,1841,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,38.43%,0.65,1.25,2,2455,0,7,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,26.09%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,26.09%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,26.09%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,26.09%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,63.41%,0.49,0.94,2,1841,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,63.41%,0.49,0.94,2,1841,0,6,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,84.54%,0.65,1.25,2,2455,0,7,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,57.39%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,57.39%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,57.39%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Normal Attack,Flaming Sakura Blade Art,57.39%,0.45,0.85,2,1666,0,5,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,24.50%,0.42,0.8,4,1408,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,97.98%,1.66,3.17,4,5632,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,44.09%,0.42,0.8,4,1408,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,176.36%,1.66,3.17,4,5632,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,66.01%,2.5,0.75,4,1328,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,64.02%,2.06,0.73,4,1288,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,64.02%,2.06,0.73,4,1288,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,118.81%,2.5,0.75,4,1328,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,115.24%,2.06,0.73,4,1288,0,0,0,0,0,,
Hiyuki,Resonance Skill,Frostblight,115.24%,2.06,0.73,4,1288,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,397.62%,0,0,2,84000,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,198.81%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,795.24%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,357.86%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,1431.44%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,516.91%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,2067.63%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,675.96%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Resonance Liberation,Foreclaiming,2703.82%,0,0,2,0,0,0,0,0,0,,
Hiyuki,Intro Skill,Frostedge,156.15%,0,0,2,8976,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,283.82%,1.12,2.15,2,3807,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,47.31%,0.19,0.36,2,635,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,283.82%,1.12,2.15,2,3807,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,47.31%,0.19,0.36,2,635,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,638.59%,1.12,2.15,2,3807,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,106.44%,0.19,0.36,2,635,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,638.59%,1.12,2.15,2,3807,0,0,0,0,0,,
Hiyuki,Forte Circuit,Everfrost Dominion,106.44%,0.19,0.36,2,635,0,0,0,0,0,,
,,,,,,,,,,,,,,
Denia,Normal Attack,Dreamweaver's Banquet,32.69%,0.69,1.37,0,2192,4,0,0,0,0,,"SpecialEnergy1Max: 100,"
Denia,Normal Attack,Dreamweaver's Banquet,30.18%,0.64,1.27,0,2024,4,0,0,0,0,,"SpecialEnergy2Max: 3,"
Denia,Normal Attack,Dreamweaver's Banquet,25.49%,0.54,1.07,0,1710,3,0,0,0,0,,"SpecialEnergy3Max: 100,"
Denia,Normal Attack,Dreamweaver's Banquet,49.35%,1.04,2.07,0,1710,6,0,0,0,0,,"SpecialEnergy4Max: 6000,"
Denia,Normal Attack,Dreamweaver's Banquet,128.00%,0.69,5.37,0,8584,30,0,0,0,0,,"SpecialEnergy5Max: 10000,"
Denia,Normal Attack,Dreamweaver's Banquet,1328.00%,0.69,5.37,2,8584,30,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,128.00%,0.69,5.37,0,8584,30,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,1328.00%,0.69,5.37,2,8584,30,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,36.51%,0.77,1.53,0,2448,0,0,3,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,54.76%,0.77,1.53,2,2448,-18,0,6,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,37.51%,0.79,1.58,0,2516,0,0,4,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,14.07%,0.3,0.59,0,944,0,0,2,0,0,,
